Lugar;Edad;Nœmero
al-Mughraqa;Menores de 16;0
al-Mughraqa;16-19;1
al-Mughraqa;20-24;1
al-Mughraqa;25-34;0
al-Mughraqa;35-44;0
al-Mughraqa;45-54;0
al-Mughraqa;55-64;0
al-Mughraqa;65+;1
al-Mughraqa;Desconocida;0
al-Zahra;Menores de 16;0
al-Zahra;16-19;0
al-Zahra;20-24;0
al-Zahra;25-34;1
al-Zahra;35-44;0
al-Zahra;45-54;0
al-Zahra;55-64;0
al-Zahra;65+;0
al-Zahra;Desconocida;1
Beit Hanun;Menores de 16;8
Beit Hanun;16-19;1
Beit Hanun;20-24;9
Beit Hanun;25-34;10
Beit Hanun;35-44;3
Beit Hanun;45-54;1
Beit Hanun;55-64;3
Beit Hanun;65+;0
Beit Hanun;Desconocida;8
Beit Lahia;Menores de 16;5
Beit Lahia;16-19;4
Beit Lahia;20-24;8
Beit Lahia;25-34;6
Beit Lahia;35-44;3
Beit Lahia;45-54;1
Beit Lahia;55-64;0
Beit Lahia;65+;0
Beit Lahia;Desconocida;8
Campo de refugiados de Al Bureij;Menores de 16;1
Campo de refugiados de Al Bureij;16-19;1
Campo de refugiados de Al Bureij;20-24;4
Campo de refugiados de Al Bureij;25-34;1
Campo de refugiados de Al Bureij;35-44;2
Campo de refugiados de Al Bureij;45-54;1
Campo de refugiados de Al Bureij;55-64;1
Campo de refugiados de Al Bureij;65+;0
Campo de refugiados de Al Bureij;Desconocida;3
Campo de refugiados de Maghazi;Menores de 16;2
Campo de refugiados de Maghazi;16-19;0
Campo de refugiados de Maghazi;20-24;2
Campo de refugiados de Maghazi;25-34;1
Campo de refugiados de Maghazi;35-44;1
Campo de refugiados de Maghazi;45-54;0
Campo de refugiados de Maghazi;55-64;0
Campo de refugiados de Maghazi;65+;0
Campo de refugiados de Maghazi;Desconocida;1
Campo de refugiados de Nuseirat;Menores de 16;2
Campo de refugiados de Nuseirat;16-19;0
Campo de refugiados de Nuseirat;20-24;3
Campo de refugiados de Nuseirat;25-34;5
Campo de refugiados de Nuseirat;35-44;4
Campo de refugiados de Nuseirat;45-54;0
Campo de refugiados de Nuseirat;55-64;0
Campo de refugiados de Nuseirat;65+;0
Campo de refugiados de Nuseirat;Desconocida;1
Deir al-Balah;Menores de 16;2
Deir al-Balah;16-19;0
Deir al-Balah;20-24;5
Deir al-Balah;25-34;6
Deir al-Balah;35-44;4
Deir al-Balah;45-54;1
Deir al-Balah;55-64;1
Deir al-Balah;65+;2
Deir al-Balah;Desconocida;6
Gaza;Menores de 16;63
Gaza;16-19;28
Gaza;20-24;63
Gaza;25-34;92
Gaza;35-44;26
Gaza;45-54;16
Gaza;55-64;19
Gaza;65+;8
Gaza;Desconocida;67
Jahr al-Deek;Menores de 16;0
Jahr al-Deek;16-19;0
Jahr al-Deek;20-24;0
Jahr al-Deek;25-34;2
Jahr al-Deek;35-44;0
Jahr al-Deek;45-54;0
Jahr al-Deek;55-64;0
Jahr al-Deek;65+;0
Jahr al-Deek;Desconocida;1
Jan Yunis;Menores de 16;61
Jan Yunis;16-19;28
Jan Yunis;20-24;61
Jan Yunis;25-34;63
Jan Yunis;35-44;25
Jan Yunis;45-54;13
Jan Yunis;55-64;12
Jan Yunis;65+;8
Jan Yunis;Desconocida;79
Lugar desconocido;Menores de 16;8
Lugar desconocido;16-19;5
Lugar desconocido;20-24;13
Lugar desconocido;25-34;22
Lugar desconocido;35-44;5
Lugar desconocido;45-54;5
Lugar desconocido;55-64;3
Lugar desconocido;65+;0
Lugar desconocido;Desconocida;15
Raf‡;Menores de 16;15
Raf‡;16-19;6
Raf‡;20-24;22
Raf‡;25-34;28
Raf‡;35-44;6
Raf‡;45-54;7
Raf‡;55-64;3
Raf‡;65+;9
Raf‡;Desconocida;18
Yabal’a;Menores de 16;10
Yabal’a;16-19;1
Yabal’a;20-24;6
Yabal’a;25-34;10
Yabal’a;35-44;4
Yabal’a;45-54;1
Yabal’a;55-64;1
Yabal’a;65+;3
Yabal’a;Desconocida;25
